company_name,stock_code,Equal Weight Score
富祥药业,300497,0.43433
弘亚数控,2833,0.549489
良信股份,2706,0.447207
北方华创,2371,0.488525
安乃达,603350,0.411107
杰创智能,301248,0.401208
菲菱科思,301191,0.422078
运机集团,1288,0.305483
君实生物,688180,0.391802
德明利,1309,0.446161
*ST双成,2693,0.519539
晶澳科技,2459,0.811368
恒生电子,600570,0.43762
盾安环境,2011,0.571327
魅视科技,1229,0.415561
众兴菌业,2772,0.563367
明阳智能,601615,0.454805
大洋电机,2249,0.547716
永冠新材,603681,0.46367
卡莱特,301391,0.26621
盈新发展,620,0.423356
神马电力,603530,0.474222
鹏辉能源,300438,0.426154
凯中精密,2823,0.571159
乐心医疗,300562,0.474695
华胜天成,600410,0.481024
超讯通信,603322,0.391509
柳药集团,603368,0.445091
海量数据,603138,0.475979
复星医药,600196,0.413518
复星医药,2196,0.413518
日辰股份,603755,0.368335
超图软件,300036,0.452318
深圳新星,603978,0.492766
奥尼电子,301189,0.494311
新国都,300130,0.331069
诺德股份,600110,0.432441
歌尔股份,2241,0.552037
君逸数码,301172,0.395527
菲沃泰,688371,0.39405
焦点科技,2315,0.594614
罗普特,688619,0.459061
圆通速递,600233,0.442615
味知香,605089,0.445985
老板电器,2508,0.562793
立讯精密,2475,0.5687
开普云,688228,0.454332
璞泰来,603659,0.528353
兆新股份,2256,0.468353
沃尔核材,2130,0.36932
万东医疗,600055,0.504863
远航精密,833914,0.511612
瑞芯微,603893,0.48331
韦尔股份,603501,0.49553
万里马,300591,0.379303
指南针,300803,0.359187
东方通,300379,0.373077
永臻股份,603381,0.521607
步科股份,688160,0.403911
未名医药,2581,0.405296
国子软件,872953,0.414346
东土科技,300353,0.496488
罗莱生活,2293,0.4614
拓邦股份,2139,0.58294
凯盛科技,600552,0.393471
新洁能,605111,0.445104
播恩集团,1366,0.391221
朗鸿科技,836395,0.468205
国晟科技,603778,0.430331
志特新材,300986,0.494513
华谊兄弟,300027,0.5071
苏 泊 尔,2032,0.336189
剑桥科技,603083,0.403571
普门科技,688389,0.39565
大博医疗,2901,0.482862
有研硅,688432,0.54349
山水比德,300844,0.380477
引力传媒,603598,0.309486
金河生物,2688,0.481272
道森股份,603800,0.455056
豪恩汽电,301488,0.501145
新巨丰,301296,0.57758
安正时尚,603839,0.35258
富春股份,300299,0.44491
天津普林,2134,0.475544
沪电股份,2463,0.423124
共达电声,2655,0.429446
领益智造,2600,0.730929
理工能科,2322,0.414652
春风动力,603129,0.471483
海星股份,603115,0.443203
曲美家居,603818,0.538079
小熊电器,2959,0.407813
极米科技,688696,0.386728
天马科技,603668,0.44762
牧高笛,603908,0.432158
瑞玛精密,2976,0.415011
拉芳家化,603630,0.409964
三只松鼠,300783,0.463919
邦基科技,603151,0.414174
锐明技术,2970,0.498759
日盈电子,603286,0.414278
中贝通信,603220,0.412975
康冠科技,1308,0.564429
华铁应急,603300,0.491432
东鹏控股,3012,0.440042
国光连锁,605188,0.429759
万向钱潮,559,0.46169
立方控股,833030,0.434658
信质集团,2664,0.51719
鼎龙股份,300054,0.410178
伟创电气,688698,0.455675
亿联网络,300628,0.369716
兆易创新,603986,0.447617
祖名股份,3030,0.393633
蔚蓝锂芯,2245,0.385108
宁水集团,603700,0.36118
纳思达,2180,0.390945
捷邦科技,301326,0.413315
达嘉维康,301126,0.406179
振华重工,600320,0.522338
斯瑞新材,688102,0.464842
七一二,603712,0.395404
欣锐科技,300745,0.403234
美年健康,2044,0.597799
光智科技,300489,0.40986
捷顺科技,2609,0.396911
海大集团,2311,0.548385
中远海能,600026,0.280013
奕瑞科技,688301,0.402436
连城数控,835368,0.482875
中国天楹,35,0.55587
安井食品,603345,0.515668
钧达股份,2865,0.427096
盈方微,670,0.256374
纵横通信,603602,0.431848
宏川智慧,2930,0.46527
"创远仪器,创远信科",831961,0.457563
索菱股份,2766,0.37426
亿纬锂能,300014,0.250457
金雷股份,300443,0.419722
天融信,2212,0.230716
神通科技,605228,0.468688
游族网络,2174,0.488067
龙蟠科技,603906,0.406107
保隆科技,603197,0.336581
环旭电子,601231,0.371725
移远通信,603236,0.430325
煌上煌,2695,0.539914
先惠技术,688155,0.467538
海利生物,603718,0.332974
岱勒新材,300700,0.279556
胜利精密,2426,0.571815
飞鹿股份,300665,0.429894
闻泰科技,600745,0.501775
禾信仪器,688622,0.427826
奥拓电子,2587,0.408067
奇安信,688561,0.430698
家家悦,603708,0.461493
华体科技,603679,0.463726
法本信息,300925,0.408563
韵达股份,2120,0.461496
高能环境,603588,0.493111
粤海饲料,1313,0.458003
三孚新科,688359,0.248103
苏州科达,603660,0.505515
瑞茂通,600180,0.360048
思源电气,2028,0.243538
柳    工,528,0.590278
歌力思,603808,0.467387
爱旭股份,600732,0.520038
直真科技,3007,0.422464
香飘飘,603711,0.472736
遥望科技,2291,0.462152
绿盟科技,300369,0.325809
华岭股份,430139,0.496586
悦心健康,2162,0.527317
爱玛科技,603529,0.497421
同力股份,834599,0.435416
淳中科技,603516,0.431184
兴业科技,2674,0.488042
振江股份,603507,0.257495
因赛集团,300781,0.537507
禾望电气,603063,0.414913
神州信息,555,0.430659
ST同洲,2052,0.412306
济民医疗,603222,0.467751
铂科新材,300811,0.411004
欧菲光,2456,0.445621
长园集团,600525,0.404551
元隆雅图,2878,0.436947
神雾节能,820,0.506006
